timesteps,avg_waiting_time,max_waiting_time,throughput,reward
7820,3.7083333333333335,10.0,131,-0.0499
7830,0.0,0.0,17,-0.0
7840,0.0,0.0,35,-0.0
7850,0.0,0.0,54,-0.0
7860,4.333333333333333,9.0,72,-0.0239
7870,2.625,5.0,90,-0.0075
7880,3.9285714285714284,13.0,106,-0.0389
7890,6.230769230769231,15.0,115,-0.1464
7900,11.871794871794872,25.0,119,-0.7361
7910,17.183673469387756,35.0,127,-1.9814
7920,13.485714285714286,32.0,130,-0.949
7930,0.0,0.0,18,-0.0
7940,0.0,0.0,36,-0.0
7950,0.0,0.0,54,-0.0
7960,4.666666666666667,10.0,71,-0.0184
7970,2.8,5.0,90,-0.0096
7980,5.777777777777778,13.0,103,-0.0802
7990,4.833333333333333,11.0,111,-0.0627
8000,3.5,12.0,122,-0.0322
8010,3.7037037037037037,8.0,125,-0.051
8020,0.0,0.0,9,-0.0
8030,0.0,0.0,26,-0.0
8040,0.0,0.0,44,-0.0
8050,1.0,1.0,63,-0.0006
8060,2.5,7.0,81,-0.0052
8070,4.411764705882353,8.0,98,-0.0401
8080,3.823529411764706,11.0,115,-0.0365
8090,4.541666666666667,16.0,124,-0.0719
8100,7.771428571428571,18.0,127,-0.307
8110,9.129032258064516,22.0,135,-0.3869
8120,0.0,0.0,9,-0.0
8130,0.0,0.0,26,-0.0
8140,0.0,0.0,43,-0.0
8150,2.0,2.0,62,-0.0008
8160,7.666666666666667,12.0,80,-0.0436
8170,3.5555555555555554,12.0,98,-0.0238
8180,5.7,11.0,109,-0.0487
8190,9.294117647058824,21.0,118,-0.2404
8200,5.833333333333333,17.0,124,-0.1188
8210,5.72,12.0,125,-0.1131
8220,0.0,0.0,9,-0.0
8230,0.0,0.0,27,-0.0
8240,0.0,0.0,45,-0.0
8250,3.0,3.0,62,-0.0027
8260,5.0,6.0,80,-0.0077
8270,3.3333333333333335,8.0,99,-0.0098
8280,1.7857142857142858,4.0,111,-0.0055
8290,4.875,12.0,117,-0.0789
8300,4.1,12.0,121,-0.0536
8310,3.16,9.0,129,-0.0371
8320,0.0,0.0,9,-0.0
8330,0.0,0.0,27,-0.0
8340,0.0,0.0,45,-0.0
8350,4.0,4.0,63,-0.0016
8360,6.4,14.0,81,-0.0334
8370,5.222222222222222,16.0,99,-0.0463
8380,3.7142857142857144,8.0,107,-0.0258
8390,6.6521739130434785,16.0,115,-0.1595
8400,9.071428571428571,26.0,119,-0.4524
8410,8.741935483870968,30.0,125,-0.4697
8420,0.0,0.0,9,-0.0
8430,0.0,0.0,27,-0.0
8440,0.0,0.0,45,-0.0
8450,3.0,5.0,63,-0.0052
8460,6.833333333333333,15.0,81,-0.0848
8470,9.363636363636363,25.0,99,-0.1665
8480,3.75,14.0,106,-0.0527
8490,5.24,20.0,114,-0.1209
8500,7.636363636363637,30.0,120,-0.2708
8510,8.157894736842104,40.0,131,-0.5736
8520,0.0,0.0,17,-0.0
8530,0.0,0.0,36,-0.0
8540,0.0,0.0,54,-0.0
8550,3.375,6.0,72,-0.0125
8560,3.1,6.0,89,-0.0117
8570,3.789473684210526,13.0,107,-0.0432
8580,5.222222222222222,11.0,116,-0.0652
8590,5.045454545454546,16.0,123,-0.0971
8600,4.0,12.0,132,-0.0682
